"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2020","43.873","43.752","44.171","43.413","9.32M","0.28%"
"Jun 15, 2020","43.752","44.047","44.073","41.858","11.28M","-0.65%"
"Jun 14, 2020","44.039","45.107","45.118","43.602","7.30M","-2.36%"
"Jun 13, 2020","45.104","44.742","45.183","44.304","7.81M","0.81%"
"Jun 12, 2020","44.742","43.262","45.335","42.832","9.90M","3.44%"
"Jun 11, 2020","43.252","46.657","46.927","42.161","12.48M","-7.29%"
"Jun 10, 2020","46.653","45.880","47.051","45.674","9.30M","1.70%"
"Jun 09, 2020","45.873","46.405","46.785","45.401","8.41M","-1.14%"
"Jun 08, 2020","46.404","46.638","46.761","45.968","10.02M","-0.50%"
"Jun 07, 2020","46.638","46.795","46.981","45.191","10.71M","-0.33%"
"Jun 06, 2020","46.794","46.832","47.214","46.254","9.61M","-0.08%"
"Jun 05, 2020","46.833","47.437","47.952","46.619","11.37M","-1.28%"
"Jun 04, 2020","47.440","47.150","48.077","46.424","12.18M","0.62%"
"Jun 03, 2020","47.149","46.016","47.493","45.331","12.43M","2.46%"
"Jun 02, 2020","46.018","48.206","49.930","44.754","16.38M","-4.53%"
"Jun 01, 2020","48.201","45.611","48.579","45.375","10.40M","5.68%"
"May 31, 2020","45.611","47.730","47.790","45.182","12.40M","-4.47%"
"May 30, 2020","47.746","44.502","48.011","44.208","13.38M","7.29%"
"May 29, 2020","44.503","44.723","45.267","44.233","10.43M","-0.49%"
"May 28, 2020","44.723","43.847","44.868","43.177","10.01M","2.00%"
"May 27, 2020","43.847","42.274","43.991","42.231","9.38M","3.75%"
"May 26, 2020","42.263","42.981","43.058","41.842","8.26M","-1.67%"
"May 25, 2020","42.981","42.147","43.263","41.831","5.98M","1.97%"
"May 24, 2020","42.152","43.874","44.533","42.152","9.73M","-3.93%"
"May 23, 2020","43.875","44.203","44.735","43.705","8.00M","-0.76%"
"May 22, 2020","44.210","42.931","44.643","42.391","10.41M","2.98%"
"May 21, 2020","42.930","44.229","44.596","41.733","12.04M","-2.92%"
"May 20, 2020","44.220","45.714","46.131","43.362","11.74M","-3.29%"
"May 19, 2020","45.726","45.313","45.764","44.183","11.88M","0.91%"
