"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2018","365.8","357.5","365.9","353.1","1.62K","2.32"
"Oct 09, 2018","359.0","365.8","365.9","356.0","0.84K","-1.88"
"Oct 10, 2018","352.0","359.0","360.0","350.0","1.22K","-1.93"
"Oct 11, 2018","302.3","352.0","352.0","302.3","4.72K","-14.14"
"Oct 12, 2018","322.0","302.3","324.9","301.1","2.33K","6.53"
"Oct 13, 2018","320.7","322.0","328.0","313.3","1.86K","-0.41"
"Oct 14, 2018","311.0","320.7","324.9","311.0","1.11K","-3.00"
"Oct 15, 2018","313.2","311.0","340.0","307.3","3.01K","0.68"
"Oct 16, 2018","305.5","317.5","319.0","305.0","2.61K","-2.44"
"Oct 17, 2018","299.5","305.5","309.9","298.0","2.05K","-1.98"
"Oct 18, 2018","293.0","299.5","301.9","290.0","1.10K","-2.17"
"Oct 19, 2018","298.9","293.0","305.0","290.3","0.74K","2.02"
"Oct 20, 2018","301.4","298.6","310.0","297.7","0.93K","0.83"
"Oct 21, 2018","297.1","301.4","308.0","297.0","1.32K","-1.41"
"Oct 22, 2018","295.0","297.1","302.3","292.0","0.78K","-0.71"
"Oct 23, 2018","300.3","295.0","309.0","292.0","1.73K","1.77"
"Oct 24, 2018","300.0","300.9","306.0","292.0","0.76K","-0.09"
"Oct 25, 2018","298.5","300.0","300.0","294.0","0.71K","-0.50"
"Oct 26, 2018","292.6","298.5","298.5","290.0","0.62K","-1.97"
"Oct 27, 2018","287.4","292.6","294.8","285.3","0.71K","-1.79"
"Oct 28, 2018","290.3","287.4","291.7","285.2","0.39K","1.03"
"Oct 29, 2018","269.8","290.3","293.0","267.0","1.07K","-7.08"
"Oct 30, 2018","267.0","269.8","275.6","265.3","0.67K","-1.03"
"Oct 31, 2018","277.0","267.0","283.0","252.1","1.52K","3.74"
"Nov 01, 2018","276.1","277.0","280.0","272.0","0.68K","-0.32"
"Nov 02, 2018","282.0","276.1","294.0","275.0","0.80K","2.13"
"Nov 03, 2018","279.7","282.0","283.2","276.0","0.24K","-0.80"
"Nov 04, 2018","293.5","279.7","305.0","277.0","2.61K","4.93"
"Nov 05, 2018","288.0","293.5","301.0","281.0","1.94K","-1.88"
"Nov 06, 2018","297.1","288.0","297.1","275.9","3.00K","3.17"
"Nov 07, 2018","287.0","297.1","298.0","287.0","2.18K","-3.40"
"Nov 08, 2018","284.1","287.0","293.0","282.0","1.66K","-1.00"
"Nov 09, 2018","284.3","284.1","295.0","283.0","1.32K","0.07"
"Nov 10, 2018","286.0","284.3","288.0","282.0","0.56K","0.59"
"Nov 11, 2018","280.0","286.0","287.0","270.0","3.16K","-2.10"
"Nov 12, 2018","277.5","280.0","282.0","276.0","1.31K","-0.90"
"Nov 13, 2018","267.9","277.5","279.0","263.0","1.20K","-3.46"
"Nov 14, 2018","237.0","267.9","274.3","223.3","3.35K","-11.54"
"Nov 15, 2018","237.0","237.0","242.0","224.6","3.46K","0.00"
"Nov 16, 2018","229.5","237.0","243.0","226.0","2.09K","-3.16"
"Nov 17, 2018","223.0","229.5","232.8","221.0","1.58K","-2.85"
"Nov 18, 2018","228.4","223.0","239.9","222.5","1.43K","2.42"
"Nov 19, 2018","191.0","228.4","228.4","176.0","6.12K","-16.35"
"Nov 20, 2018","174.3","191.0","199.0","161.0","5.45K","-8.77"
"Nov 21, 2018","184.0","174.3","192.8","171.9","3.12K","5.60"
"Nov 22, 2018","170.0","184.0","191.3","170.0","2.00K","-7.61"
"Nov 23, 2018","168.5","170.0","179.6","161.0","2.01K","-0.88"
"Nov 24, 2018","153.5","168.5","179.0","145.3","1.12K","-8.90"
"Nov 25, 2018","158.2","153.5","180.0","132.0","2.86K","3.05"
"Nov 26, 2018","154.6","163.0","172.0","145.0","2.09K","-2.26"
"Nov 27, 2018","160.7","154.6","163.0","150.8","1.14K","3.95"
"Nov 28, 2018","179.0","160.7","191.0","160.7","2.63K","11.37"
"Nov 29, 2018","173.0","179.0","185.0","170.0","2.00K","-3.35"
"Nov 30, 2018","167.9","173.0","177.9","160.3","1.70K","-2.94"
"Dec 01, 2018","174.6","167.9","189.0","163.0","1.76K","4.00"
"Dec 02, 2018","178.0","174.6","181.0","170.4","1.31K","1.93"
"Dec 03, 2018","164.0","178.0","178.9","158.6","2.94K","-7.87"
"Dec 04, 2018","167.4","164.0","173.0","158.0","1.83K","2.07"
"Dec 05, 2018","156.5","165.3","169.5","154.1","1.97K","-6.51"
"Dec 06, 2018","142.0","156.5","164.5","142.0","3.36K","-9.26"
"Dec 07, 2018","131.6","142.0","145.9","121.0","4.69K","-7.32"
"Dec 08, 2018","130.5","131.6","145.0","123.1","2.68K","-0.85"
"Dec 09, 2018","134.6","133.6","142.5","129.6","2.08K","3.10"
"Dec 10, 2018","131.7","134.6","139.8","127.0","1.25K","-2.12"
"Dec 11, 2018","126.0","129.2","133.9","125.0","1.60K","-4.33"
"Dec 12, 2018","130.0","126.0","134.4","125.0","1.29K","3.18"
"Dec 13, 2018","126.4","130.0","131.8","122.5","1.08K","-2.75"
"Dec 14, 2018","124.0","126.4","133.0","121.0","1.74K","-1.93"
"Dec 15, 2018","130.0","127.0","130.0","123.1","0.63K","4.83"
"Dec 16, 2018","137.5","130.0","148.0","126.1","2.93K","5.78"
"Dec 17, 2018","158.0","137.5","165.1","137.1","5.23K","14.91"
"Dec 18, 2018","156.8","155.8","163.0","146.1","3.22K","-0.75"
"Dec 19, 2018","153.0","156.8","171.0","146.0","4.23K","-2.41"
"Dec 20, 2018","171.7","153.0","250.0","130.0","5.25K","12.17"
"Dec 21, 2018","160.2","171.7","172.9","157.0","2.60K","-6.69"
"Dec 22, 2018","168.5","160.2","173.0","158.8","1.35K","5.20"
"Dec 23, 2018","178.1","168.5","183.0","167.5","2.84K","5.69"
"Dec 24, 2018","176.0","178.1","194.3","170.0","5.49K","-1.17"
